rank,time,date,name,position,DOB,venue,nationality 
1608,17:16.08,12 APR 2014,D&#39;Ann ARTHUR,1f1,1987,Claremont (USA),USA
1610,17:16.25,04 APR 2014,Alice BAKER,19f1,,San Francisco (USA),USA
1610,17:16.25,21 AUG 2014,Martine MELLINA,2,03 SEP 1990,Bergisch Gladbach (GER),LUX
1612,17:16.33,29 JUN 2014,Eunice CHEBET,1,1986,Campi Bisenzio (ITA),KEN
1613,17:16.35,23 MAR 2014,Beatriz Stephanny HERNANDEZ,16,08 NOV 1988,Monterrey (MEX),MEX
1614,17:16.40,29 JUN 2014,&#201;lodie MENE,2,29 OCT 1983,Albi (FRA),FRA
1615,17:16.46,28 MAR 2014,Jena PIANIN,1f4,,St. Louis (USA),USA
1616,17:16.47,06 APR 2014,Gemma MAINI,10,30 NOV 1986,Melbourne (AUS),AUS
1617,17:16.57,18 APR 2014,Shayna BARBASH,6f2,,Princeton (USA),USA
1618,17:16.59,19 APR 2014,Madalyn NUCKOLS,24,02 SEP 1991,Chapel Hill (USA),USA
1619,17:16.77,25 APR 2014,Hannah KIRKEGAARD,4f1,,Berkeley (USA),USA
1620,17:16.86,06 JUN 2014,Elisabetta OTTONELLO,4,1994,Torino (ITA),ITA
1621,17:16.87,19 APR 2014,Breanna HUSCHKA,10,,Eugene (USA),USA
1621,17:16.87,06 JUL 2014,Pinar DEMİRTAŞ,1,07 APR 1998,Serres (GRE),TUR
1623,17:16.88,26 APR 2014,Emily PEREZ,2,,Houston (USA),USA
1624,17:16.97,12 APR 2014,Cassandra VINCE,1,,Alma (USA),USA
1625,17:16.98,04 APR 2014,Heather CERNEY,1f3,11 MAY 1992,San Francisco (USA),USA
1626,17:17.00,24 APR 2014,Hiruni WIJAYARATNE,23,05 DEC 1990,Philadelphia (USA),SRI
1627,17:17.04,18 APR 2014,Aliya SHIRIF,20f3,23 MAY 1994,Walnut (USA),USA
1628,17:17.07,28 JUN 2014,Jacqueline GANDAR,1,17 JUN 1994,Albi (FRA),FRA
1629,17:17.12,10 MAY 2014,Megan BEAM,4,,Winona (USA),USA
1630,17:17.13,21 MAR 2014,Kasey JONES,3f1,,Charlotte (USA),USA
1631,17:17.17,12 APR 2014,Jenny PICOT,15,,Lewisburg (USA),USA
1632,17:17.22,28 MAY 2014,Ursula GATZWEILER,21f1,11 DEC 1988,Koblenz (GER),GER
1633,17:17.23,28 MAR 2014,Kaitlyn BELISLE,2f4,,St. Louis (USA),USA
1634,17:17.28,07 FEB 2014,Clare GERAGHTY,4,15 MAY 1986,Brisbane (AUS),AUS
1634,17:17.28,10 DEC 2014,Nguyen Dang THANH THUY,5,,Namdinh (VIE),VIE
1636,17:17.38,12 APR 2014,Emily BRELSFOARD,2,,Champaign (USA),USA
1637,17:17.39,02 AUG 2014,Sandrina ILLES,2,1986,Amstetten (AUT),AUT
1638,17:17.47,23 MAR 2014,Anabel MART&#205;NEZ L&#211;PEZ,17,03 DEC 1987,Monterrey (MEX),MEX
1639,17:17.51,03 AUG 2014,Kajsa HAGLUND,13,10 NOV 1981,Umea (SWE),SWE
1640,17:17.53,05 APR 2014,Danielle MILLER,3f1,,East Lansing (USA),USA
1640,17:17.53,24 APR 2014,Lauren LEHMAN,15,,Philadelphia (USA),USA
1640,17:17.53,05 MAY 2014,Sarah KEMSHALL,8,17 JUN 1989,Bedford (GBR),GBR
1643,17:17.55,28 SEP 2014,Gloria TESSARO,6,1991,Milano (ITA),ITA
1644,17:17.57,12 APR 2014,Sarah DANNER,2,,Alma (USA),USA
1645,17:17.63,08 JUN 2014,Lauren GRINDSTAFF,8,,Murfreesboro (USA),USA
1646,17:17.65,19 APR 2014,Grace BARNETT,25,29 JUN 1995,Chapel Hill (USA),USA
1647,17:17.66,17 JUN 2014,Zulfira FAZLITDINOVA,2,12 MAY 1995,Cheboksary (RUS),RUS
1648,17:17.72,24 APR 2014,Lucy KAPKIAI,16,,Philadelphia (USA),USA
1649,17:17.89,11 APR 2014,Una BRITTON,4f1,1990,Knoxville (USA),IRL
1650,17:17.90,24 APR 2014,Abby KELTO,2f5,,Hillsdale (USA),USA
1651,17:18.07,26 APR 2014,Mercy CHELANGAT,5,11 AUG 1991,Kampala (UGA),UGA
1651,17:18.07,13 JUN 2014,Blandine BITZNER-DUCRET,2,01 DEC 1965,Colmar (FRA),FRA
1653,17:18.09,19 SEP 2014,Anna BUSATTO,10,1996,Milano (ITA),ITA
1654,17:18.15,11 MAY 2014,Tugba GUVENC,2,09 JUL 1994,Istanbul (TUR),TUR
1655,17:18.16,20 JUL 2014,Marilena SOFOCLEOUS,,30 OCT 1986,Athina (GRE),CYP
1656,17:18.24,09 MAY 2014,Rajasekara NILUKA,1,17 MAR 1982,Bangkok (THA),SRI
1657,17:18.32,12 APR 2014,Zoe GASTON,16,,Lewisburg (USA),USA
1657,17:18.32,08 JUN 2014,Elena LINN,18,14 FEB 1986,Murfreesboro (USA),USA
1659,17:18.37,18 APR 2014,Miranda KEWLEY,6f1,,Azusa (USA),USA
1660,17:18.38,02 AUG 2014,Isabelle HEERS,3,19 MAY 1981,Amstetten (AUT),AUT
1661,17:18.50,10 MAY 2014,Claire COLLISON,13f1,18 APR 1990,Eagle Rock (USA),USA
1662,17:18.58,18 APR 2014,Lindsay TOLLEFSON,21f1,17 JUL 1985,Walnut (USA),USA
1663,17:18.63,11 MAY 2014,Elif TOZLU,3,1990,Istanbul (TUR),TUR
1664,17:18.64,04 APR 2014,Ashlyn DADKAH,2f3,,San Francisco (USA),USA
1664,17:18.64,21 AUG 2014,Patricia GREWATTA,3,1986,Bergisch Gladbach (GER),GER
1666,17:18.66,07 JUN 2014,Rachel BAKER,1,,Los Angeles (USA),USA
1667,17:18.67,02 MAY 2014,Sandra MARTINEZ,9,,Corvallis (USA),USA
1668,17:18.82,19 APR 2014,Margaret MULLINS,26,,Chapel Hill (USA),USA
1669,17:18.85,09 MAY 2014,Emily REGAN,6,,Westfield (USA),USA
1670,17:18.86,11 APR 2014,Laura MEAD,2,,Platteville (USA),USA
1671,17:18.87,28 MAR 2014,Erika WILSON,3f4,,St. Louis (USA),USA
1672,17:18.92,14 JUN 2014,Grace DWYER,9f2,,Greensboro (USA),USA
1673,17:18.95,10 MAY 2014,Quetta PEINADO,3,,San Francisco (USA),USA
1674,17:18.96,29 JUN 2014,Martha RONCERIA,4,27 FEB 1981,Medell&#237;n (COL),COL
1675,17:19.00,04 APR 2014,Meghan MARVIN,4f2,26 DEC 1991,San Francisco (USA),USA
1675,17:19.00,24 APR 2014,Madeleine ANKHELYI,24,,Philadelphia (USA),USA
1677,17:19.05,04 APR 2014,Molly HAAR,20f1,,San Francisco (USA),USA
1678,17:19.08,29 MAR 2014,Kirsten WEBERG,1,03 JUN 1991,Medford (USA),USA
1679,17:19.10,18 APR 2014,Anna PATTI,7f1,,Azusa (USA),USA
1680,17:19.17,19 APR 2014,Christina OVERBECK,1,24 FEB 1986,Oregon City (USA),USA
1681,17:19.20,31 AUG 2014,Estefany PAREDES,12,22 APR 1994,Xalapa (MEX),MEX
1682,17:19.21,12 JUL 2014,Jane VONGVORACHOTI,3,07 JAN 1984,Tacoma (USA),THA
1683,17:19.29,30 MAY 2014,Fencong DUAN,3f2,20 DEC 1992,Kunshan (CHN),CHN
1684,17:19.31,19 APR 2014,Caroline KISSEL,27,,Chapel Hill (USA),USA
1685,17:19.33,24 MAY 2014,Drielly Aparecida NUNES DE SOUZA,5,13 JUN 1991,Praia Grande (BRA),BRA
1686,17:19.34,11 MAY 2014,T&#237;mea MER&#201;NYI,4,06 JUL 1971,Ny&#237;regyh&#225;za (HUN),HUN
1687,17:19.42,25 APR 2014,Laura O&#39;NEILL,5f1,,Berkeley (USA),USA
1688,17:19.43,18 MAY 2014,Katie HUSTON,19,1992,"Lexington, KY (USA)",USA
1689,17:19.44,09 MAY 2014,Danielle OPATOVSKY,7,,Westfield (USA),USA
1690,17:19.51,19 APR 2014,Jennifer AGNEW,1,,Northfield (USA),USA
1691,17:19.53,04 APR 2014,Julie MACEDO,17,,Gainesville (USA),USA
1692,17:19.60,29 MAR 2014,Kayla SPENCER,2,,Cincinnati (USA),USA
1693,17:19.60,27 NOV 2014,Molly TILBROOK,2,1995,Melbourne (AUS),AUS
1694,17:19.61,26 APR 2014,Michelle JONES,1,01 OCT 1991,San Marcos (USA),USA
1695,17:19.67,14 MAR 2014,Erika SCHAEFFER,7f1,,Los Angeles (USA),USA
1696,17:19.70,04 APR 2014,Emily COUSENS,15f1,,Princeton (USA),USA
1697,17:19.77,28 MAR 2014,Grace VANDEGRIFT,5f3,,Raleigh (USA),USA
1698,17:19.80,04 APR 2014,Chelsea SUMNEY,15f5,,Palo Alto (USA),USA
1699,17:19.87,18 MAY 2014,Minori MINAGAWA,21,,West Lafayette (USA),USA
1700,17:19.91,31 AUG 2014,Karina GARC&#205;A,13,03 DEC 1987,Xalapa (MEX),MEX
1701,17:19.98,18 MAY 2014,Anna PEER,22,,West Lafayette (USA),USA
1702,17:20.01,29 MAR 2014,Megan JOHNSON,1,,Seattle (USA),USA
1703,17:20.05,10 MAY 2014,Maura LINDE,3,,Charlottesville (USA),USA
1704,17:20.06,28 JUN 2014,Sabrina WAGNER,3,1988,Heilbronn (GER),GER
1705,17:20.12,15 FEB 2014,Rosneidy MEDINA,2f1,1990,Mayag&#252;ez (PUR),DOM
1706,17:20.13,19 APR 2014,Xiamar HUDSON,1,,Edwardsville (USA),USA
1707,17:20.15,05 MAY 2014,Rosie HILES,10,07 NOV 1991,Bedford (GBR),GBR
1708,17:20.18,27 JUL 2014,Charlotte DEWILDE,2,1994,Bruxelles (BEL),BEL
1709,17:20.33,02 OCT 2014,Kanchi Maya KOJU,15,28 JAN 1981,Incheon (KOR),NEP
1710,17:20.36,31 AUG 2014,Emilia KONDEJA,4,25 NOV 1994,Inowroclaw (POL),POL
1711,17:20.40,29 JUN 2014,Jennifer TAVE,3,01 AUG 1990,Albi (FRA),FRA
1712,17:20.45,14 JUN 2014,Mackenzie BARRY,10f2,28 SEP 1996,Greensboro (USA),USA
1712,17:20.45,12 JUL 2014,Lana LACEY,4,,Tacoma (USA),USA
1714,17:20.46,29 JUN 2014,Bertha S&#193;NCHEZ,5,04 NOV 1978,Medell&#237;n (COL),COL
1715,17:20.49,11 APR 2014,Sammie BRUETT,3,,Platteville (USA),USA
1716,17:20.52,17 MAY 2014,Elle BAKER,5,21 JUN 1993,Jacksonville (USA),USA
1717,17:20.53,04 APR 2014,Melissa FAIREY,18,25 JUL 1995,Gainesville (USA),USA
1717,17:20.53,12 MAY 2014,Jenna DUBROW,2f1,07 SEP 1993,Swarthmore (USA),USA
1719,17:20.54,04 APR 2014,Devin MCDERMOTT,19,,Gainesville (USA),USA
1720,17:20.56,08 MAY 2014,Elena BARHAM,2f3,,Naperville (USA),USA
1721,17:20.62,28 MAR 2014,Andrea ALT,6f3,,Raleigh (USA),USA
1722,17:20.65,04 APR 2014,Betsy EICKELBERG,16f1,,Princeton (USA),USA
1723,17:20.68,22 JUN 2014,Andrea Noelia LATAPIE,2,20 FEB 1987,Rosario (ARG),ARG
1724,17:20.77,15 FEB 2014,Melinda WITCHARD,5f1,26 NOV 1986,Sydney (AUS),AUS
1724,17:20.77,21 MAR 2014,Sharise LUND,7,13 FEB 1994,Los Angeles (USA),USA
1726,17:20.87,02 OCT 2014,Sarah WATERS,3,1995,Sydney (AUS),AUS
1727,17:20.89,19 APR 2014,Madeline MORGAN,28,01 APR 1991,Chapel Hill (USA),USA
1728,17:20.90,05 JUN 2014,Palakeezh UNNIKRISHNAN CHITRA,5,09 JUN 1995,Lucknow (IND),IND
1729,17:20.91,05 MAY 2014,Anna BURTON,11,31 MAY 1993,Bedford (GBR),GBR
1730,17:20.94,15 MAR 2014,Adriana Aparecida DA SILVA,7,22 JUL 1981,Santiago de Chile (CHI),BRA
1731,17:20.97,24 MAY 2014,Ionela Ecaterina PUIA,2,06 AUG 1991,Bucuresti (ROU),ROU
1732,17:21.00,19 APR 2014,Julie SAWYER,15,,Norwalk (USA),USA
1733,17:21.04,17 MAY 2014,Minna FIELDS,6,,Jacksonville (USA),USA
1734,17:21.17,19 SEP 2014,Alessandra GIRAUDO,11,1992,Milano (ITA),ITA
1735,17:21.18,22 AUG 2014,Heidi HESTMARK,6,12 JAN 1986,Jessheim (NOR),NOR
1736,17:21.30,05 APR 2014,Kelley ROBINSON,2,,West Point (USA),USA
1736,17:21.30,27 APR 2014,Lauren D&#39;ALESSIO,5,,Spartanburg (USA),USA
1736,17:21.30,14 AUG 2014,Thi Oanh NGUYEN,2,15 AUG 1995,Hanoi (VIE),VIE
1739,17:21.31,31 MAY 2014,Elena CONGOST,2,20 SEP 1987,Palafrugell (ESP),GBR
1740,17:21.33,18 APR 2014,Heather LAPLANTE,8f1,,Azusa (USA),USA
1741,17:21.34,21 MAR 2014,Kristen GALLIGAN,2,,Winston Salem (USA),USA
1742,17:21.42,25 APR 2014,Molly SLAVENS,19,,Hillsdale (USA),USA
1743,17:21.44,17 APR 2014,Viola KEBENEI,4f2,,Lawrence (USA),KEN
1744,17:21.49,03 JUN 2014,Snizhana RYBAK,4,26 OCT 1986,Kiev (UKR),UKR
1745,17:21.56,24 JUN 2014,Irene ANTOLA,4,1988,Scandiano (ITA),ITA
1746,17:21.60,16 MAY 2014,Sunilda LOZANO,2,12 JUL 1996,Lima (PER),PER
1747,17:21.81,14 JUN 2014,Adrienne FRACZKOWSKI,11f2,,Greensboro (USA),USA
1748,17:21.82,05 APR 2014,Gabriela ALFONSO,8,22 SEP 1995,Tuscaloosa (USA),VEN
1749,17:21.83,31 MAY 2014,Raquel LANDIN,3,04 OCT 1986,Palafrugell (ESP),ESP
1750,17:21.89,10 MAY 2014,Alexandra ZANELLA,4,,Charlottesville (USA),USA
1751,17:21.90,13 JUL 2014,Xuemei BAI,10f2,16 SEP 1996,Jinan (CHN),CHN
1752,17:21.92,14 MAR 2014,Hannah KELLERMAN,8f1,1991,Los Angeles (USA),USA
1753,17:21.94,11 APR 2014,Rebekah LAWSON,6f1,,Knoxville (USA),USA
1753,17:21.94,02 OCT 2014,Sophie WALKER,4,16 JUL 1994,Sydney (AUS),AUS
1755,17:21.98,12 APR 2014,Lauren RICE,1,,St. Paul (USA),USA
1756,17:22.00,13 JUL 2014,Yinli HE,11f2,01 FEB 1988,Jinan (CHN),CHN
1757,17:22.05,09 MAY 2014,Rebecca WHITE,8,,Westfield (USA),USA
1758,17:22.06,22 MAR 2014,Marion KALAFUT,2,17 DEC 1992,Tuscaloosa (USA),USA
1759,17:22.07,30 AUG 2014,Barbora J&#205;ŠOV&#193;,3,28 DEC 1992,Jablonec (CZE),CZE
1760,17:22.09,26 APR 2014,Julia BUDNIAK,1,04 MAR 1981,La Jolla (USA),POL
1761,17:22.11,18 APR 2014,Abby MACE,22f3,25 APR 1994,Walnut (USA),USA
1762,17:22.14,31 AUG 2014,Sara MARMON,5,17 SEP 1992,Inowroclaw (POL),POL
1763,17:22.18,15 MAR 2014,Kelsey IBARRA,4,1995,Memphis (USA),USA
1763,17:22.18,17 MAY 2014,Cindy MEZA,2,1997,Xalapa (MEX),MEX
1765,17:22.20,21 MAR 2014,AuraLea FAIN,8,,Los Angeles (USA),USA
1766,17:22.23,03 MAY 2014,Leyla EMMENECKER,8,1996,Aichach (GER),GER
1767,17:22.38,21 MAR 2014,Kristin WEISSE,3,,Winston Salem (USA),USA
1768,17:22.42,08 MAY 2014,Andrea OSTENSO,3f3,,Naperville (USA),USA
1769,17:22.51,28 MAR 2014,Shelby STABLEFORD,2f4,,Raleigh (USA),USA
1770,17:22.56,27 APR 2014,Simret WELDEGHABR GEBREKR,3,02 MAY 1997,Asmara (ERI),ERI
1771,17:22.65,24 APR 2014,Katie O&#39;REGAN,26,,Philadelphia (USA),USA
1772,17:22.67,15 MAR 2014,Laura ACEVES,12f1,,Fullerton (USA),USA
1773,17:22.70,15 MAR 2014,Katie BATHGATE,13f1,,Fullerton (USA),USA
1774,17:22.71,12 APR 2014,Ariel BECCIA,17,,Lewisburg (USA),USA
1775,17:22.72,19 APR 2014,Kaleigh ERVIN,6,,Waco (USA),USA
1775,17:22.72,20 JUN 2014,Daniela Mihaela BOGDAN,1,1997,Bucuresti (ROU),ROU
1777,17:22.74,14 MAR 2014,Lisa OHBERG,10f1,1988,Los Angeles (USA),SWE
1778,17:22.77,09 APR 2014,Jillian THOLEN,2,,St. Paul (USA),USA
1779,17:22.78,22 MAR 2014,Allison GREGG,3,,Tuscaloosa (USA),USA
1780,17:22.81,29 MAR 2014,Julia WEBB,7,14 FEB 1983,Salem (USA),USA
1781,17:22.82,22 JUN 2014,Taka AZAUNT,3,12 MAR 1990,Tbilisi (GEO),ISR
1782,17:22.84,24 APR 2014,Rachel MALONE,18,,Philadelphia (USA),USA
1783,17:22.85,21 MAR 2014,Jenna WILLETT,4f1,,Charlotte (USA),USA
1784,17:22.86,27 JUL 2014,Karen VAN PROEYEN,3,18 NOV 1984,Bruxelles (BEL),BEL
1785,17:22.89,04 JUL 2014,Barbara LA BARBERA,5,27 AUG 1984,Ponzano Veneto (ITA),ITA
1786,17:22.92,13 AUG 2014,S.A. LAMAHEWAGE,2,04 JUN 1990,Colombo (SRI),SRI
1787,17:22.94,24 APR 2014,Katie RODDEN,19,,Philadelphia (USA),USA
1788,17:22.96,11 APR 2014,Thembi BALOYI,4,07 JAN 1989,Pretoria (RSA),RSA
1789,17:23.00,04 APR 2014,Ashley ROBISON,5f2,,San Francisco (USA),USA
1790,17:23.12,11 AUG 2014,Elvanie NIMBONA,8,15 MAR 1998,Marrakesh (MAR),BDI
1791,17:23.13,06 SEP 2014,Priska AUF DER MAUR,1,17 MAR 1992,Gen&#232;ve (SUI),SUI
1792,17:23.14,06 JUN 2014,Linda BENIGNI,3,1995,Torino (ITA),ITA
1793,17:23.18,28 MAR 2014,Hilary HALFORD,4f4,,St. Louis (USA),USA
1794,17:23.21,21 MAR 2014,Lauren JUSTUS,3,,Irvine (USA),USA
1794,17:23.21,20 JUN 2014,Marine ETIENNE,12,10 APR 1985,Carquefou (FRA),FRA
1796,17:23.26,26 APR 2014,Bronwyn CROSSMAN,1,26 OCT 1989,Bellingham (USA),USA
1796,17:23.26,18 MAY 2014,Allison LASNICKI,4,02 SEP 1992,Lubbock (USA),USA
1798,17:23.36,05 APR 2014,Kirsten LEE,2,,Vancouver (CAN),CAN
1799,17:23.38,02 JUL 2014,Sveva FASCETTI,2f1,20 JUN 1994,Frascati (ITA),ITA
1800,17:23.42,05 APR 2014,Erika SETZLER,4f2,,Nacogdoches (USA),USA
1801,17:23.48,12 MAY 2014,Alyssa KENNEDY,3f1,,Swarthmore (USA),USA
1802,17:23.52,22 MAR 2014,Erika RAMSEY,4,,Tuscaloosa (USA),USA
1803,17:23.56,12 APR 2014,Claudia PHAM,1,,Durham (USA),USA
1804,17:23.58,01 JUN 2014,Kriszta K&#211;SZ&#193;S,3,26 AUG 1994,Budapest (HUN),HUN
1805,17:23.64,21 MAR 2014,Andrea GUERRA,5f1,,Charlotte (USA),USA
1806,17:23.68,16 MAY 2014,Evelyn ESCOBAR,3,27 DEC 1996,Lima (PER),PER
1807,17:23.70,30 MAY 2014,Anna DUNKAN,8,08 JAN 1993,Sochi (RUS),UKR
1808,17:23.76,18 APR 2014,Summer HARPER,27f2,,Walnut (USA),USA
1809,17:23.88,05 APR 2014,Madison HILL,3,,West Point (USA),USA
1809,17:23.88,31 MAY 2014,Jakeline DELGADILLO,11,1984,Barranco (PER),ECU
1811,17:23.90,29 JUN 2014,Charlotte MAURIN,4,12 OCT 1986,Albi (FRA),FRA
1812,17:23.92,19 APR 2014,Emily PRITT,29,10 FEB 1990,Chapel Hill (USA),USA
1813,17:23.95,26 APR 2014,Jackie REGAN,1,1993,Vancouver (CAN),CAN
1814,17:23.99,18 MAY 2014,Laura MAIBUECHER,24,21 MAY 1994,West Lafayette (USA),USA
1815,17:24.14,04 APR 2014,Whitney SCHUMACHER,2,14 JAN 1992,Charleston (USA),USA
1816,17:24.17,04 MAY 2014,Elise BEATTIE,5,,Burlington (USA),USA
1817,17:24.25,14 JUN 2014,Melina TR&#196;NKLE,11,1992,Wesel (GER),GER
1817,17:24.25,19 SEP 2014,Francesca DURANTE,12,1977,Milano (ITA),ITA
1819,17:24.26,03 AUG 2014,Frida ASPN&#196;S,14,1987,Umea (SWE),SWE
1820,17:24.27,07 JUN 2014,Camila APARECIDA DOS SANTOS,1,26 NOV 1990,Rio de Janeiro (BRA),BRA
1821,17:24.31,07 JUN 2014,Jessica LADEIRA SOARES,2,08 FEB 1994,Rio de Janeiro (BRA),BRA
1822,17:24.34,20 JUL 2014,Luminita Georgiana ACHIM,5,23 FEB 1994,Pitesti (ROU),ROU
1823,17:24.43,22 MAR 2014,Jodie MCGUFF,5,,Tuscaloosa (USA),USA
1824,17:24.44,04 APR 2014,Allison BRACKIN,21,,Gainesville (USA),USA
1824,17:24.44,10 MAY 2014,Mirena GONCALVES,16f1,28 JAN 1993,Eagle Rock (USA),USA
1826,17:24.48,10 AUG 2014,Sunny DESTY,1,,Kochi (IND),IND
1827,17:24.56,04 APR 2014,Rebecca WHITE,18f1,,Williamsburg (USA),USA
1828,17:24.64,14 JUN 2014,Gabriella PERITY,4,01 APR 1985,Budapest (HUN),HUN
1829,17:24.66,19 APR 2014,Kelsey BRUCE,1,27 OCT 1992,Commerce (USA),USA
1830,17:24.68,11 APR 2014,Ericka STAM,7f1,15 MAY 1991,Knoxville (USA),USA
1831,17:24.73,19 JUL 2014,Joana NUNES,1,09 MAY 1985,Luso (POR),POR
1832,17:24.74,29 MAR 2014,Eva VAIL,9,11 SEP 1984,Salem (USA),USA
1833,17:24.77,12 JUL 2014,Aroa MERINO BETANCORT,7,27 MAY 1979,Alcorc&#243;n (ESP),ESP
1834,17:24.88,03 JUN 2014,Olha YAROTSKA,5,14 NOV 1991,Kiev (UKR),UKR
1835,17:24.93,11 JUN 2014,Saskia WEINANS,7,23 FEB 1994,Nijmegen (NED),NED
1836,17:24.97,12 MAY 2014,Grace HANCOCK,4f1,,Swarthmore (USA),USA
1837,17:25.14,18 APR 2014,Lauren STRAPP,8f2,,Princeton (USA),USA
1838,17:25.17,05 APR 2014,Catherine WATKINS,3,08 SEP 1971,Vancouver (CAN),CAN
1838,17:25.17,06 JUL 2014,Meritxell SOLER,3,20 JUL 1992,Durango (ESP),ESP
1840,17:25.18,23 MAR 2014,Maria Guadalupe SANTANA MARIN,19,11 OCT 1982,Monterrey (MEX),MEX
1841,17:25.25,27 MAR 2014,Maddie MURPHY,7,,Austin (USA),USA
1842,17:25.30,05 APR 2014,Ari KIYOMASA,22f1,21 MAY 1994,Kumamoto (JPN),JPN
1843,17:25.32,12 APR 2014,Megan O&#39;BRIEN,2f3,,Romeoville (USA),USA
1844,17:25.35,28 MAR 2014,Camille BLACKMAN,5f4,1993,St. Louis (USA),USA
1845,17:25.41,24 JUL 2014,Nataliya SEMENOVYCH,7,01 MAR 1995,Kirovograd (UKR),UKR
1846,17:25.47,24 APR 2014,Joanna CASTROGIVANNI,20,,Philadelphia (USA),USA
1847,17:25.49,19 APR 2014,Kelley DRISCOLL,2,,Cortland (USA),USA
1848,17:25.50,29 JUN 2014,Nawal PINNA,5,04 DEC 1984,Albi (FRA),FRA
1849,17:25.59,28 MAR 2014,Jasmine POLITE,3f4,,Raleigh (USA),USA
1850,17:25.62,15 FEB 2014,Laura JAMES,6f1,,Sydney (AUS),AUS
1851,17:25.63,03 AUG 2014,Cecilia NORRBOM,15,28 JAN 1988,Umea (SWE),SWE
1852,17:25.65,19 APR 2014,Colleen SCHMIDT,30,24 SEP 1993,Chapel Hill (USA),USA
1853,17:25.76,18 APR 2014,Shannon SUSBAUER,2f2,,Eugene (USA),USA
1854,17:25.79,12 APR 2014,Anna MCBRIDE,2f1,,Greenville (USA),USA
1855,17:25.82,28 MAR 2014,Sian ENGLISH,1,,Wellington (NZL),NZL
1856,17:25.90,29 JUN 2014,Helene LAMON,6,21 MAY 1987,Albi (FRA),FRA
1857,17:25.97,08 JUL 2014,Arndis Yr HAFPORSDOTTIR,1,07 MAY 1988,Greve (DEN),ISL
1858,17:26.00,04 APR 2014,Marisa CUMMINGS,18f1,,Princeton (USA),USA
1859,17:26.02,07 SEP 2014,Line KALSTRUP SCHULZ,1,18 JUL 1996,Aalborg (DEN),DEN
1860,17:26.11,10 MAY 2014,Grace HANSHAW,17f1,,Eagle Rock (USA),USA
1861,17:26.17,06 SEP 2014,Flavia STUTZ,1,19 JUL 1996,Gen&#232;ve (SUI),SUI
1862,17:26.24,28 MAR 2014,Natalie SMITH,18f2,,Raleigh (USA),USA
1862,17:26.24,31 MAY 2014,Danielle THIEL,14,1992,Guelph (CAN),CAN
1864,17:26.35,27 JUL 2014,Diane VAN ES,6,22 MAR 1999,Amsterdam (NED),NED
1865,17:26.36,18 JUN 2014,Frida KRISTIANSSON,2,22 MAY 1992,Lerum (SWE),SWE
1866,17:26.39,07 FEB 2014,Brittany DUTTON,1,14 OCT 1997,Brisbane (AUS),AUS
1867,17:26.45,20 JUL 2014,Sof&#237;a R&#205;GA,4,18 JUL 1988,Athina (GRE),GRE
1868,17:26.55,18 MAY 2014,Kelsey KLUESNER,25,06 SEP 1993,West Lafayette (USA),USA
1869,17:26.59,06 JUN 2014,Silke SCHMIDT,1,1959,Wageningen (NED),GER
1870,17:26.75,25 APR 2014,Julie PEDERSEN,6f1,30 OCT 1990,Berkeley (USA),USA
1871,17:26.77,31 AUG 2014,Alicja KONIECZEK,6,02 NOV 1994,Inowroclaw (POL),POL
1872,17:26.82,30 MAR 2014,Sara Mercedes PRIETO,3,24 SEP 1989,Cuernavaca (MEX),MEX
1873,17:26.83,05 APR 2014,Sabrina WILKIE,4,,Vancouver (CAN),CAN
1874,17:26.89,10 MAY 2014,Madeline MACDONALD,2,1990,Seattle (USA),CAN
1875,17:26.90,18 APR 2014,Meghan CUNNINGHAM,24f3,02 MAR 1989,Walnut (USA),USA
1876,17:26.92,04 JUN 2014,Natalya KULIKOVA,3,03 AUG 1990,Chelyabinsk (RUS),RUS
1877,17:26.95,04 MAY 2014,Lorraine MCCARTHY,6,,Burlington (USA),USA
1878,17:26.97,13 JUL 2014,Xiaoxi ZHONG,18f1,28 FEB 1995,Jinan (CHN),CHN
1879,17:26.98,23 AUG 2014,Lara BROMILOW,3,14 NOV 1982,Bedford (GBR),GBR
1880,17:27.02,25 JUN 2014,Barbara RAMON,1,23 MAR 1983,Barcelona (ESP),ESP
1881,17:27.17,28 MAR 2014,Morgan PERRY,4f4,,Raleigh (USA),USA
1881,17:27.17,03 MAY 2014,Jacqueline MART&#205;N,1,14 APR 1974,Barcelona (ESP),ESP
1883,17:27.22,31 MAY 2014,Olinda CANCHANCHA,13,1982,Barranco (PER),PER
1884,17:27.27,27 JUL 2014,Anna GALLE,4,1989,Bruxelles (BEL),BEL
1884,17:27.27,02 OCT 2014,Miranda MIDDLETON,5,04 JUN 1993,Sydney (AUS),AUS
1886,17:27.29,10 MAY 2014,Jordan PASCHKE,6,,Winona (USA),USA
1886,17:27.29,31 MAY 2014,Jenn DOWLING-MEDLEY,15,1991,Guelph (CAN),CAN
1888,17:27.33,18 APR 2014,Beth CONLON,9f2,,Princeton (USA),USA
1889,17:27.36,18 APR 2014,Nicole LUCAS,1,,Columbus (USA),USA
1890,17:27.43,21 MAR 2014,Artrailia LESANE,1,,Houston (USA),USA
1891,17:27.49,04 APR 2014,Jennifer RUBEL,25,,Gainesville (USA),USA
1891,17:27.49,05 JUN 2014,Jayashree Shivshankar BORAGI,6,04 JAN 1991,Lucknow (IND),IND
